Date,Stock,Direction,OR High,OR Low,OR%,Entry,Entry Time,SL,Target,Exit,Exit Reason,P&L
2026-04-09,PHOENIXLTD,SHORT,1712.9,1688.0,1.45,1688.0,09:49:00,1712.9,1613.3,1712.9,SL,-3007
2026-04-09,NESTLEIND,LONG,1223.5,1206.4,1.41,1223.5,09:36:00,1206.4,1274.8,1228.6,EOD,734
2026-04-10,HINDUNILVR,LONG,2152.8,2121.4,1.47,2152.8,09:36:00,2121.4,2247.0,2150.1,EOD,-351
2026-04-10,IOB,LONG,34.72,34.23,1.43,34.72,09:59:00,34.23,36.19,34.73,EOD,-42
2026-04-10,MAHABANK,SHORT,71.45,70.45,1.42,70.45,09:36:00,71.45,67.45,70.47,EOD,-157
2026-04-13,TECHM,SHORT,1437.2,1416.0,1.49,1416.0,09:36:00,1437.2,1352.4,1437.2,SL,-3050
2026-04-13,INFY,SHORT,1289.0,1270.0,1.49,1270.0,09:36:00,1289.0,1213.0,1276.8,EOD,-1165
2026-04-13,SAIL,SHORT,164.07,161.7,1.46,161.7,09:36:00,164.07,154.59,164.07,SL,-2989
2026-04-15,AXISBANK,SHORT,1384.5,1364.1,1.49,1364.1,09:36:00,1384.5,1302.9,1358.0,EOD,798
2026-04-15,CANBK,SHORT,143.67,141.59,1.47,141.59,09:49:00,143.67,135.35,141.66,EOD,-199
2026-04-15,TATAPOWER,LONG,416.3,410.3,1.45,416.3,09:50:00,410.3,434.3,421.9,EOD,2590
2026-04-16,OBEROIRLTY,SHORT,1740.1,1715.0,1.46,1715.0,09:38:00,1740.1,1639.7,1716.3,EOD,-251
2026-04-16,DABUR,SHORT,441.4,435.15,1.44,435.15,09:37:00,441.4,416.4,428.25,EOD,3122
2026-04-16,SOBHA,SHORT,1339.9,1321.0,1.42,1321.0,09:44:00,1339.9,1264.3,1323.1,EOD,-417
2026-04-17,IDFCFIRSTB,LONG,68.25,67.3,1.4,68.25,09:56:00,67.3,71.1,68.64,EOD,1043
2026-04-17,OBEROIRLTY,SHORT,1728.0,1704.3,1.37,1704.3,09:36:00,1728.0,1633.2,1712.0,EOD,-1000
2026-04-17,DABUR,LONG,429.8,424.2,1.31,429.8,09:40:00,424.2,446.6,442.2,EOD,5670
2026-04-20,SOBHA,SHORT,1337.4,1317.9,1.47,1317.9,09:38:00,1337.4,1259.4,1312.4,EOD,738
